location_id,division,longitude,latitude,dist_to_main_road
lcn_001,buttala,6.761014259,81.24892995,2
lcn_002,buttala,6.762942975,81.25075853,2
lcn_003,buttala,6.769758284,81.24657536,1200
lcn_004,buttala,6.757871109,81.23163512,250
lcn_005,buttala,6.755652098,81.22596693,170
lcn_006,buttala,6.755686264,81.24931924,550
lcn_007,buttala,6.748376482,81.20318443,10
lcn_008,buttala,6.750681363,81.19140121,550
lcn_009,buttala,6.744689413,81.18941696,77
lcn_010,buttala,6.761902701,81.25234285,3
lcn_011,monaragala,6.884563173,81.34675254,3
lcn_012,monaragala,6.887387204,81.34685099,140
lcn_013,monaragala,6.860299473,81.34246612,150
lcn_014,monaragala,6.851213286,81.33672048,97
lcn_015,monaragala,6.850685193,81.33098492,250
lcn_016,monaragala,6.847529028,81.32673427,2
lcn_017,monaragala,6.882959254,81.34650136,65
lcn_018,monaragala,6.88422452,81.34500221,140
lcn_019,monaragala,6.861145626,81.33059234,1200
lcn_020,monaragala,6.864073256,81.34612707,450
lcn_021,badalkumbura,6.893974319,81.23457456,350
lcn_022,badalkumbura,6.894629106,81.23909634,150
lcn_023,badalkumbura,6.897805638,81.23807671,15
lcn_024,badalkumbura,6.899809971,81.24140084,230
lcn_025,badalkumbura,6.90408871,81.24181045,750
lcn_026,badalkumbura,6.884608104,81.23582936,1300
lcn_027,badalkumbura,6.89819896,81.24009316,2
lcn_028,badalkumbura,6.89812147,81.24083432,10
lcn_029,badalkumbura,6.896807597,81.23402202,150
lcn_030,badalkumbura,6.887610306,81.23558743,950
lcn_031,wellawaya,6.730448641,81.09760354,350
lcn_032,wellawaya,6.729496176,81.09339855,10
lcn_033,wellawaya,6.731264735,81.10288332,79
lcn_034,wellawaya,6.733185833,81.1050587,20
lcn_035,wellawaya,6.731987376,81.11599,150
lcn_036,wellawaya,6.740012479,81.09719165,9
lcn_037,wellawaya,6.739482282,81.09881074,40
lcn_038,wellawaya,6.720798882,81.10415852,5
lcn_039,wellawaya,6.733871691,81.10916428,150
lcn_040,wellawaya,6.729064367,81.10018643,400
lcn_041,buttala,6.739105004,81.23382844,180
lcn_042,buttala,6.738046941,81.22762271,90
lcn_043,buttala,6.748528244,81.20304219,6
lcn_044,buttala,6.774140332,81.26475338,210
lcn_045,buttala,6.788776198,81.27616632,350
lcn_046,buttala,6.798312249,81.28620071,450
lcn_047,buttala,6.735444328,81.2519029,3000
lcn_048,buttala,6.763764785,81.23684596,1100
lcn_049,buttala,6.766578352,81.23644844,1100
lcn_050,buttala,6.757943503,81.25768407,1100
lcn_051,buttala,6.766945326,81.25110017,600
lcn_052,buttala,6.74158574,81.17575794,2
lcn_053,buttala,6.758348352,81.25300232,750
lcn_054,buttala,6.774730787,81.25421091,1300
lcn_055,buttala,6.759551935,81.23980089,240
lcn_056,badalkumbura,6.901326729,81.23776058,700
lcn_057,badalkumbura,6.884731336,81.25676826,1100
lcn_058,badalkumbura,6.888742923,81.24217067,1100
lcn_059,badalkumbura,6.906320696,81.23740106,1200
lcn_060,badalkumbura,6.901124736,81.23936619,500
lcn_061,badalkumbura,6.900977204,81.23822137,600
lcn_062,badalkumbura,6.903585119,81.24205359,700
lcn_063,badalkumbura,6.90390867,81.25055549,800
lcn_064,badalkumbura,6.892443904,81.24086187,800
lcn_065,badalkumbura,6.888002197,81.26443935,750
lcn_066,badalkumbura,6.890164398,81.23927662,700
lcn_067,badalkumbura,6.890164398,81.23927662,800
lcn_068,badalkumbura,6.888977161,81.24202749,1100
lcn_069,badalkumbura,6.90021986,81.2340453,550
lcn_070,badalkumbura,6.888799507,81.23978938,900
lcn_071,monaragala,6.872366412,81.35768188,600
lcn_072,monaragala,6.882684029,81.34026409,750
lcn_073,monaragala,6.87888109,81.33903934,1200
lcn_074,monaragala,6.881825284,81.34991741,270
lcn_075,monaragala,6.884896898,81.34822136,350
lcn_076,monaragala,6.886340577,81.34227228,350
lcn_077,monaragala,6.886340577,81.34227228,350
lcn_078,monaragala,6.871999945,81.34475622,600
lcn_079,monaragala,6.866975954,81.35400531,900
lcn_080,monaragala,6.866936555,81.35575343,800
lcn_081,monaragala,6.852047633,81.33694493,2
lcn_082,monaragala,6.852047633,81.33694493,2
lcn_083,monaragala,6.858867412,81.33322991,2
lcn_084,monaragala,6.865329363,81.34719004,250
lcn_085,monaragala,6.872931088,81.34475748,650
lcn_086,wellawaya,6.714374579,81.10928486,550
lcn_087,wellawaya,6.72437295,81.11139014,1100
lcn_088,wellawaya,6.732652424,81.12688711,16
lcn_089,wellawaya,6.726875676,81.10145622,350
lcn_090,wellawaya,6.732993459,81.09353642,280
lcn_091,wellawaya,6.717584889,81.10674112,200
lcn_092,wellawaya,6.732159054,81.11551742,140
lcn_093,wellawaya,6.732212144,81.11191429,120
lcn_094,wellawaya,6.736620117,81.1001566,70
lcn_095,wellawaya,6.734774992,81.10223965,600
lcn_096,wellawaya,6.737145599,81.11845885,450
lcn_097,wellawaya,6.739161767,81.11142649,900
lcn_098,wellawaya,6.743616294,81.1010952,400
lcn_099,wellawaya,6.737897016,81.11466415,600
lcn_100,wellawaya,6.715893917,81.10764771,450