scl_location_id,division,scl_name,scl_longitude,scl_latitude
scl_001,buttala,Dutugemunu College,6.761896355,81.24683803
scl_002,buttala,Pelwatta Nawodya School,6.747604262,81.19427434
scl_003,wellawaya,Malwaththawala National School,6.735298276,81.11554269
scl_004,wellawaya,Ethiliwewa National School,6.620800939,81.12664981
scl_005,monaragala,Vipulananda Tamil National School,6.851026455,81.33356751
scl_006,monaragala,Wellassa Subhagya School,6.803214823,81.29099623
scl_007,monaragala,Royal college Monaragala,6.860190772,81.34052731
scl_008,monaragala,Mahanama Central College,6.876626688,81.34821193
scl_009,monaragala,Mediriya Rajyananda Central College,6.888083408,81.2961153
scl_010,monaragala,Kumbukkana Maha Vidyalaya,6.807229021,81.29700983
scl_011,monaragala,Magandanamulla Primary School,6.892974909,81.32935622
scl_012,monaragala,Mahanama Primary School,6.874172937,81.34729219
scl_013,monaragala,Waradola k.v.,6.863911253,81.32980114
scl_014,monaragala,Maduruketiya maha Vidyalaya,6.83677569,81.31706506
scl_015,monaragala,Vidyaloka Primary School,6.838510162,81.38202291
scl_016,monaragala,Hulandawa south primary school,6.8215663,81.35392654
scl_017,monaragala,Obbegoda national School,6.9272255,81.35127073
scl_018,badalkumbura,Waradola Primary school,6.908922368,81.18901549
scl_019,badalkumbura,Siddartha primary school,6.932584878,81.22121382
scl_020,badalkumbura,Gallaba Primary School,6.909852965,81.22169417
scl_021,badalkumbura,Sri Pemananda Madya Maha Vidyalaya,6.916823709,81.24365667
scl_022,badalkumbura,Maligathenna Maha Vidyalaya,6.900667232,81.2410963
scl_023,badalkumbura,Nissanka Central College,6.892128752,81.23772369
scl_024,buttala,Katugahagalge Secondary Collage,6.802600714,81.24882518
scl_025,buttala,Dutugamunu model primary school,6.749785543,81.2348752
scl_026,monaragala,Janasanka Model School,6.783740987,81.27907677
scl_027,monaragala,Sri Shanmuga Tamil Maha Vidyalaya,6.808716176,81.29507518
scl_028,buttala,Waguruwela Maha Vidyalaya,6.716291654,81.25086569
scl_029,buttala,Yudhaganawa Kanishta Vidyalaya,6.747630963,81.22352375
scl_030,buttala,Unawatuna Primary School,6.75341922,81.21774458
scl_031,buttala,Ranjan Wijerathna Maha Vidyalaya,6.72109786,81.21491425
scl_032,buttala,Kukurampola K.V.,6.702970314,81.19759147
scl_033,buttala,Viharamahadevi Kanishta Vidyalaya,6.641080605,81.18931795
scl_034,badalkumbura,Eththalamulla Vidyalaya,6.854407422,81.24851306
scl_035,buttala,Siddhartha Maha Vidyalaya,6.783991688,81.19389396
scl_036,buttala,Higurukaduwa Maha Vidyalaya,6.823828026,81.16204065
scl_037,wellawaya,Anapallama Secondary School,6.738238734,81.15514927
scl_038,wellawaya,Saddhathissa Primary School,6.702697419,81.14478354
scl_039,wellawaya,Gampanguwa Junior School,6.758665415,81.11860843
scl_040,wellawaya,Mahawelamulla Muslim Maha vidyalaya,6.721810263,81.10966965
scl_041,wellawaya,Yalabowa Primary School,6.71208691,81.1068982
scl_042,wellawaya,Buduruwagala Maha Vidyalaya,6.690265714,81.10780898
scl_043,wellawaya,Telulla Junior school,6.597107461,81.14310352
scl_044,wellawaya,Wellawaya Kumaradasa M.V.,6.755720189,81.09992606
scl_045,wellawaya,Kuda Oya Maha Vidyalaya,6.52818954,81.12577102